,indices,scores,path,label
0,53,0.28766057,../Dataset/Horw/Horw_2402.JPG,Horw
1,110,0.3473197,../Dataset/Rotkreuz/Rotkreuz_2465.JPG,Rotkreuz
2,168,0.35323018,../Dataset/Rotkreuz/Rotkreuz_2527.JPG,Rotkreuz
3,75,0.37498462,../Dataset/Horw/Horw_2431.JPG,Horw
4,151,0.3907815,../Dataset/Rotkreuz/Rotkreuz_2510.JPG,Rotkreuz
5,5,0.3970041,../Dataset/Horw/Horw_2353.JPG,Horw
6,185,0.40080842,../Dataset/Rotkreuz/Rotkreuz_2546.JPG,Rotkreuz
7,36,0.40557322,../Dataset/Horw/Horw_2384.JPG,Horw
8,17,0.40833,../Dataset/Horw/Horw_2365.JPG,Horw
9,7,0.41644183,../Dataset/Horw/Horw_2355.JPG,Horw
10,186,0.42099336,../Dataset/Rotkreuz/Rotkreuz_2547.JPG,Rotkreuz
11,50,0.42462397,../Dataset/Horw/Horw_2399.JPG,Horw
12,60,0.4300912,../Dataset/Horw/Horw_2413.JPG,Horw
13,59,0.43502793,../Dataset/Horw/Horw_2412.JPG,Horw
14,66,0.43535325,../Dataset/Horw/Horw_2421.JPG,Horw
15,79,0.43878454,../Dataset/Horw/Horw_2435.JPG,Horw
16,49,0.44168252,../Dataset/Horw/Horw_2398.JPG,Horw
17,57,0.442004,../Dataset/Horw/Horw_2409.JPG,Horw
18,21,0.4434912,../Dataset/Horw/Horw_2369.JPG,Horw
19,169,0.44550028,../Dataset/Rotkreuz/Rotkreuz_2528.JPG,Rotkreuz
20,189,0.44558564,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Rotkreuz
21,98,0.44820002,../Dataset/Rotkreuz/Horw_2427.JPG,Rotkreuz
22,35,0.44950402,../Dataset/Horw/Horw_2383.JPG,Horw
23,1,0.4513719,../Dataset/Horw/Horw_2348.JPG,Horw
24,33,0.45222738,../Dataset/Horw/Horw_2381.JPG,Horw
25,142,0.45327544,../Dataset/Rotkreuz/Rotkreuz_2501.JPG,Rotkreuz
26,16,0.45518416,../Dataset/Horw/Horw_2364.JPG,Horw
27,140,0.4558889,../Dataset/Rotkreuz/Rotkreuz_2499.JPG,Rotkreuz
28,93,0.45652926,../Dataset/Horw/Horw_2449.JPG,Horw
29,149,0.4588603,../Dataset/Rotkreuz/Rotkreuz_2508.JPG,Rotkreuz
30,167,0.46016017,../Dataset/Rotkreuz/Rotkreuz_2526.JPG,Rotkreuz
31,52,0.46102664,../Dataset/Horw/Horw_2401.JPG,Horw
32,41,0.46218538,../Dataset/Horw/Horw_2389.JPG,Horw
33,15,0.46435168,../Dataset/Horw/Horw_2363.JPG,Horw
34,83,0.46523345,../Dataset/Horw/Horw_2439.JPG,Horw
35,129,0.46618092,../Dataset/Rotkreuz/Rotkreuz_2486.JPG,Rotkreuz
36,190,0.46740708,../Dataset/Rotkreuz/Rotkreuz_9975.jpg,Rotkreuz
37,85,0.46806362,../Dataset/Horw/Horw_2441.JPG,Horw
38,124,0.47019142,../Dataset/Rotkreuz/Rotkreuz_2479.JPG,Rotkreuz
39,150,0.47043127,../Dataset/Rotkreuz/Rotkreuz_2509.JPG,Rotkreuz
40,162,0.47044218,../Dataset/Rotkreuz/Rotkreuz_2521.JPG,Rotkreuz
41,152,0.47221246,../Dataset/Rotkreuz/Rotkreuz_2511.JPG,Rotkreuz
42,73,0.472729,../Dataset/Horw/Horw_2429.JPG,Horw
43,144,0.47414124,../Dataset/Rotkreuz/Rotkreuz_2503.JPG,Rotkreuz
