,indices_1,indices_2,scores,path_indices_1,path_indices_2,label_indices_1,label_indices_2
0,68,70,0.06641638,../Dataset/Horw/Horw_2419.JPG,../Dataset/Horw/Horw_2422.JPG,Horw,Horw
1,43,192,0.0674184,../Dataset/Horw/Horw_2392.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Horw,Rotkreuz
2,128,192,0.068005145,../Dataset/Rotkreuz/Rotkreuz_2480.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Rotkreuz,Rotkreuz
3,109,192,0.06878191,../Dataset/Rotkreuz/Rotkreuz_2460.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Rotkreuz,Rotkreuz
4,189,192,0.068863094,../Dataset/Rotkreuz/Rotkreuz_2547.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Rotkreuz,Rotkreuz
5,146,192,0.069990635,../Dataset/Rotkreuz/Rotkreuz_2502.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Rotkreuz,Rotkreuz
6,11,192,0.07057953,../Dataset/Horw/Horw_2360.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Horw,Rotkreuz
7,135,192,0.072068214,../Dataset/Rotkreuz/Rotkreuz_2489.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Rotkreuz,Rotkreuz
8,31,192,0.07220924,../Dataset/Horw/Horw_2380.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Horw,Rotkreuz
9,165,192,0.072807014,../Dataset/Rotkreuz/Rotkreuz_2521.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Rotkreuz,Rotkreuz
10,91,192,0.07297063,../Dataset/Horw/Horw_2444.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Horw,Rotkreuz
11,107,192,0.07324237,../Dataset/Rotkreuz/Rotkreuz_2458.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Rotkreuz,Rotkreuz
12,40,192,0.07325661,../Dataset/Horw/Horw_2389.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Horw,Rotkreuz
13,27,192,0.07349187,../Dataset/Horw/Horw_2376.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Horw,Rotkreuz
14,140,192,0.074294865,../Dataset/Rotkreuz/Rotkreuz_2496.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Rotkreuz,Rotkreuz
15,187,192,0.074412405,../Dataset/Rotkreuz/Rotkreuz_2545.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Rotkreuz,Rotkreuz
16,170,192,0.07442278,../Dataset/Rotkreuz/Rotkreuz_2526.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Rotkreuz,Rotkreuz
17,131,192,0.07463586,../Dataset/Rotkreuz/Rotkreuz_2485.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Rotkreuz,Rotkreuz
18,84,192,0.07510471,../Dataset/Horw/Horw_2436.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Horw,Rotkreuz
19,188,192,0.076443195,../Dataset/Rotkreuz/Rotkreuz_2546.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Rotkreuz,Rotkreuz
20,127,192,0.07647002,../Dataset/Rotkreuz/Rotkreuz_2479.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Rotkreuz,Rotkreuz
21,41,192,0.076506555,../Dataset/Horw/Horw_2390.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Horw,Rotkreuz
22,2,192,0.07679236,../Dataset/Horw/Horw_2351.JPG,../Dataset/Rotkreuz/Rotkreuz_2552.JPG,Horw,Rotkreuz
